0.000000000000000000e+00,3.205628498740818039e-03,6.464448774823491201e-03,9.924917487624269202e-03,1.658189477387422395e+00,1.664197838824728271e+00,1.668012156990003936e+00,2.554504015430900665e+00,2.554257600203804213e+00,2.553971189889848503e+00
1.582802822871237853e-03,3.343474420701494833e-03,6.598460748328925304e-03,9.855736856875211768e-03,1.659763881138392794e+00,1.665504597729037251e+00,1.804852029551630377e+00,2.554441084772903547e+00,2.554191636743012417e+00,2.553904657778532705e+00
3.102970789678348353e-03,4.136679335410550773e-03,7.049077786273837652e-03,9.946548420449962541e-03,1.661303786757569956e+00,1.666920158433617960e+00,2.554573390794836918e+00,2.554374363111413082e+00,2.554126052382569956e+00,2.553836988366168459e+00
4.666538342185642257e-03,5.299040249415806238e-03,7.822213706022464186e-03,1.020738130770855109e-02,1.662927852654308980e+00,1.668366047166149002e+00,2.554509701936141131e+00,2.554308020550271952e+00,2.554056866568808370e+00,2.553767423452057539e+00
6.200740426223470304e-03,6.641592298235211682e-03,8.834732245214237459e-03,1.081341468029140690e-02,1.664565376613451164e+00,1.669851741435364856e+00,2.554443169824825333e+00,2.554237507885287251e+00,2.553985785253299667e+00,2.553696152586374168e+00
7.716346231306561373e-03,8.080646118021899901e-03,1.002026788936638720e-02,1.286939952684485432e-02,1.666307532269021729e+00,2.554525245050465632e+00,2.554374742211762417e+00,2.554167753421001663e+00,2.553915272588315410e+00,2.553625260821040577e+00
9.305166161578634285e-03,9.566854986344805814e-03,1.133820136881763183e-02,2.764817350399420212e-02,1.668162470278532705e+00,2.554481269409937916e+00,2.554304229546778160e+00,2.554090796050077827e+00,2.553840589819487583e+00,2.553550578052212749e+00
1.088589170704717252e-02,1.111440925124269029e-02,1.277464665241122982e-02,1.657230732603843126e+00,1.669924907802795122e+00,2.554409619443905211e+00,2.554228409476902328e+00,2.554016871481948669e+00,2.553764011548913082e+00,2.553473810231463581e+00
1.245977715675875182e-02,1.268361518101662581e-02,1.440842255302097509e-02,1.661431354025135976e+00,2.554428574461374168e+00,2.554335315775427162e+00,2.554153537157899834e+00,2.553938397709627495e+00,2.553687243728163914e+00,2.553396663310365078e+00
1.403705525842512646e-02,1.428147132352272121e-02,1.670249204457916956e-02,1.664784307065217295e+00,2.554357303595690798e+00,2.554255515151882872e+00,2.554072978333656874e+00,2.553859923937305876e+00,2.553605926703221840e+00,2.553315535835597672e+00
1.566065172230975133e-02,1.591327175590562595e-02,2.114388217096743391e-02,1.667292814077057539e+00,2.554280725325116297e+00,2.554176851829386585e+00,2.553993367260287251e+00,2.553776521860442461e+00,2.553524609678280211e+00,2.553232323308909368e+00
